"_id","sens_accx","sens_accy","sens_accz","Timestamp","sens_vbattery","Duplicato","sens_longitude","Frequency","sens_latitude","Spreading_Factor","Dev_EUI","RSSI","Channel","GW","Data","sens_time","sens_temperature","sens_altitude","sens_speed"
"""58a2e1421bbe3926f82e1f26""","0","109.5","0","14-02-2017 11:51:46","0.05",false,10.21537,868.5,45.51979,7,"001bc50670101631",-89,2,,,,,,
"""58a2e1e41bbe3922acd6dedd""",,,,"14-02-2017 11:54:28",,,,,,,"0018b20000000c26",,,,,,,,
"""58a2e1e81bbe3922acd6dede""",,,,"14-02-2017 11:54:32",,,,,,,"0018b20000000c26",,,"[{""rssi"":-255,""mac"":""001bc50670200001"",""snr"":8.5},{""rssi"":-255,""mac"":""aa555a00004a05ef"",""snr"":-6.5}]",,,,,
"""58a2e1ee1bbe3922acd6dedf""",,,,"14-02-2017 11:54:38",,false,,867.5,,12,"0018b20000000c26",-92,5,,"8e1800001048",,,,
"""58a2e1ee1bbe3922acd6dee0""",,,,"14-02-2017 11:54:38",,,,,,,"0018b20000000c26",,,"[{""rssi"":-92,""mac"":""001bc50670200001"",""snr"":7.5},{""rssi"":-117,""mac"":""aa555a00004a05ef"",""snr"":-4.7},{""rssi"":-121,""mac"":""001bc50670200049"",""snr"":-14.2}]",,,,,
"""58a2e1f51bbe3922acd6dee1""","0","87.6","0","14-02-2017 11:54:45","0.07",false,10.21535,867.9,45.51979,7,"001bc50670101631",-88,7,,,,,,
"""58a2e1f51bbe3922acd6dee2""",,,,"14-02-2017 11:54:45",,,,,,,"001bc50670101631",,,"[{""rssi"":-88,""mac"":""001bc50670200001"",""snr"":9.7},{""rssi"":-120,""mac"":""aa555a00004a05ef"",""snr"":-3}]",,,,,
"""58a2e2bd1bbe392498ad57e8""",,,,"14-02-2017 11:58:05",,,,,,,"0018b20000000c26",,,,,,,,
"""58a2e2c71bbe392498ad57e9""",,,,"14-02-2017 11:58:15",,false,,867.3,,12,"0018b20000000c26",-95,4,,"8e1900001048",,,,
"""58a2fbf91bbe3925d4bd7af0""","0","127.8","0","14-02-2017 13:45:45","654.37",false,10.21523,867.7,45.51969,7,"001bc50670101631",-85,6,,,"1487076344000",,,
"""58a2fe151bbe3914141bcfcf""","0","88.9","0","14-02-2017 13:54:45","654.36",false,10.21526,867.5,45.51963,7,"001bc50670101631",-88,5,,,"1487076884000",,,
"""58a2fec91bbe390888bfe2a2""","0","129.5","0","14-02-2017 13:57:45","654.36",false,10.21524,867.5,45.51965,7,"001bc50670101631",-89,5,,,,"0.01",,
"""58a307ed1bbe3922c851b1d7""","-1.01","0.02","-0.08","14-02-2017 14:36:45","3.88",false,10.21526,867.5,45.51939,7,"001bc50670101631",-83,5,,,,"-2.56",132.8,"0.02"
"""58a308a01bbe3922c851b1d8""","-1.02","0.03","-0.09","14-02-2017 14:39:44","3.91",false,10.21527,867.9,45.51959,7,"001bc50670101631",-84,7,,,,"-2.56",133.5,"0.01"
"""58a309541bbe3922c851b1d9""","-1.01","0.03","-0.08","14-02-2017 14:42:44","3.87",false,10.21518,867.9,45.51966,7,"001bc50670101631",-88,7,,,,"-2.56",152.6,"0.06"
"""58a30a081bbe3922c851b1da""","-0.99","0.01","-0.09","14-02-2017 14:45:44","3.91",false,10.21516,868.5,45.51977,7,"001bc50670101631",-89,2,,,,"-3.2",131,"0.05"
"""58a30abd1bbe3922c851b1db""","-1","0.02","-0.1","14-02-2017 14:48:45","3.91",false,10.2153,867.5,45.5196,7,"001bc50670101631",-87,5,,,,"-2.56",128.3,"0.02"
"""58a31d051bbe3928702ba265""","0.35","0.55","0.05","14-02-2017 16:06:45","3.89",false,10.21531,868.5,45.5197,7,"001bc50670101631",-96,2,,,,"20.48",126.8,"0.74"
"""58a31db81bbe3928702ba266""","0.02","0.99","-0.02","14-02-2017 16:09:44","3.75",false,10.21531,868.1,45.5197,7,"001bc50670101631",-91,0,,,,"41.6",126.8,"0.74"
"""58a31e6c1bbe3928702ba267""","0","0.02","0.98","14-02-2017 16:12:44","3.76",false,10.21531,868.3,45.5197,7,"001bc50670101631",-112,1,,,,"48",126.8,"0.74"
"""58a31f201bbe3928702ba268""","0","0.01","0.96","14-02-2017 16:15:44","3.96",false,10.21531,868.3,45.5197,7,"001bc50670101631",-119,1,,,,"53.12",126.8,"0.74"
"""58a31fd41bbe3928702ba269""","0","0.01","0.96","14-02-2017 16:18:44","4.02",false,10.21531,867.3,45.5197,7,"001bc50670101631",-119,4,,,,"56.32",126.8,"0.74"
"""58a320611bbe3928702ba26a""",,,,"14-02-2017 16:21:05",,,,,,,"001bc50670101631",,,,,,,,
"""58a3211f1bbe3928702ba26b""","-0.12","0.1","0.96","14-02-2017 16:24:15","4.01",false,0,867.1,0,12,"001bc50670101631",-104,3,,,,"59.52",0,"0"
"""58a321d31bbe3928702ba26c""","-0.14","0.1","0.95","14-02-2017 16:27:15","4.03",false,0,867.1,0,12,"001bc50670101631",-107,3,,,,"63.36",0,"0"
"""58a322871bbe3928702ba26d""","-0.14","0.1","0.95","14-02-2017 16:30:15","4.08",false,0,868.1,0,12,"001bc50670101631",-99,0,,,,"64",0,"0"
"""58a3233b1bbe3928702ba26e""","-0.13","0.1","0.96","14-02-2017 16:33:15","4.1",false,0,867.1,0,12,"001bc50670101631",-104,3,,,,"65.92",0,"0"
"""58a323ef1bbe3928702ba26f""","-0.14","0.1","0.96","14-02-2017 16:36:15","4.13",false,0,868.1,0,12,"001bc50670101631",-100,0,,,,"66.56",0,"0"
"""58a324a21bbe3928702ba270""","-0.13","0.09","0.95","14-02-2017 16:39:14","3.94",false,0,867.1,0,12,"001bc50670101631",-114,3,,,,"67.2",0,"0"
"""58a325541bbe3928702ba271""","-0.13","0.1","0.95","14-02-2017 16:42:12","4.13",false,0,868.5,0,7,"001bc50670101631",-101,2,,,,"66.56",0,"0"
"""58a326081bbe3928702ba272""","-0.13","0.09","0.96","14-02-2017 16:45:12","3.98",false,0,867.1,0,7,"001bc50670101631",-108,3,,,,"65.28",0,"0"
"""58a459ce0b85524ee84eb0b6""","-0.98","0.04","-0.05","15-02-2017 14:38:22","4.05",false,9.22225,867.9,45.44812,11,"001bc5067010162d",-120,7,,,,"21.12",119.4,"0.19"
"""58a45a820b85524ee84eb0b7""","-0.98","0.01","-0.05","15-02-2017 14:41:22","3.88",false,9.22213,868.1,45.4481,11,"001bc5067010162d",-119,0,,,,"21.12",94.5,"0.62"
"""58a45b380b85524ee84eb0b8""","-0.98","0.01","-0.05","15-02-2017 14:44:24","4.05",false,9.22225,867.7,45.44801,12,"001bc5067010162d",-119,6,,,,"22.4",118.5,"0.33"
"""58a45bea0b85524ee84eb0b9""","-0.98","0.02","-0.06","15-02-2017 14:47:22","4.04",false,9.22222,868.1,45.4482,11,"001bc5067010162d",-119,0,,,,"20.48",128.4,"0.04"
"""58a45ceb0b85524ee84eb0ba""",,,,"15-02-2017 14:51:39",,,,,,,"001bc5067010163e",,,,,,,,
"""58a45d480b85524ee84eb0bb""",,,,"15-02-2017 14:53:12",,,,,,,"001bc5067010164f",,,,,,,,
